adj-eng,adj-fre,adj-ger,adj-ita,adj-ned,adj-rus,adj-vie,adj-zho,noun-eng,noun-fre,noun-ger,noun-ita,noun-ned,noun-rus,noun-vie,noun-zho,phrase_prefix-eng,phrase_prefix-fre,phrase_prefix-ger,phrase_prefix-ita,phrase_prefix-ned,phrase_prefix-rus,phrase_prefix-vie,phrase_prefix-zho,phrase-eng,phrase-fre,phrase-ger,phrase-ita,phrase-ned,phrase-rus,phrase-vie,phrase-zho,phrase_head_final-eng,phrase_head_final-fre,phrase_head_final-ger,phrase_head_final-ita
digital,numérique,digitaler,digitale,digitale,цифровая,kỹ thuật số,数码,camera,appareil photo,Kamera,fotocamera,camera,камера,máy ảnh,相机,I saw the,J'ai vu l',Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,digital camera,appareil photo numérique,digitale Kamera,fotocamera digitale,digitale camera,цифровая камера,máy ảnh kỹ thuật số,数码相机,,,,
colourful,colorée,bunte,colorato,kleurrijke,красочная,sặc sỡ,繽紛,card,carte,Karte,cartoncino,kaart,открытка,thẻ,卡片,I saw the,J'ai vu la,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy tấm,我看見了,colourful card,carte colorée,bunte Karte,cartoncino colorato,kleurrijke kaart,красочная открытка,thẻ sặc sỡ,繽紛卡片,small card,petite carte,kleine Karte,piccola scheda
old,coûteuse,alte,carrozza,oude,старая,cũ,旧,carriage,voiture,Kutsche,vecchia,koets,карета,xe ngựa,马车,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,old carriage,voiture coûteuse,alte Kutsche,vecchia carrozza,oude koets,старая карета,xe ngựa cũ,旧马车,,,,
wooden,en bois,hölzerner,di,houten,деревянная,gỗ,木头,cart,chariot,Karren,carretto,kar,тележка,xe kéo,车,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,wooden cart,chariot en bois,hölzerner Karren,carretto di legno,houten kar,деревянная тележка,xe kéo gỗ,木头车,,,,
lazy,paresseux,faule,pigro,luie,ленивая,lười,懒,cat,chat,Katze,gatto,kat,кошка,mèo,猫,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,lazy cat,chat paresseux,faule Katze,gatto pigro,luie kat,ленивая кошка,mèo lười,懒猫,,,,
heavy,chaîne,schwere,pesante,zware,тяжелая,nặng,沉重的,chain,lourde,Kette,catena,ketting,цепь,xích sắt,铁链,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy sợi,我看見了,heavy chain,lourde chaîne,schwere Kette,catena pesante,zware ketting,тяжелая цепь,xích sắt nặng,沉重的铁链,,,,
soft,mou,weicher,morbido,zachte,мягкий,mềm,软,cheese,fromage,Käse,formaggio,kaas,сыр,pho mát,奶酪,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy miếng,我看見了,soft cheese,fromage mou,weicher Käse,formaggio morbido,zachte kaas,мягкий сыр,pho mát mềm,软奶酪,,,,
wooden,en bois,hölzene,di,houten,деревянный,gỗ,木,chest,coffre,Kiste,cassa,kist,сундук,hộp,箱,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,wooden chest,coffre en bois,hölzene Kiste,cassa di legno,houten kist,деревянный сундук,hộp gỗ,木箱,,,,
pointed,pointu,spitzes,appuntito,puntige,острый,nhọn,尖,chin,menton,Kinn,mento,kin,подбородок,cằm,下巴,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,pointed chin,menton pointu,spitzes Kinn,mento appuntito,puntige kin,острый подбородок,cằm nhọn,尖下巴,big chin,grand menton,großes Kinn,grande mento
Christian,chrétienne,christliche,cristiana,christelijke,христианская,Kitô giáo,基督,church,église,Kirche,chiesa,kerk,церковь,Nhà thờ,教堂,I saw the,J'ai vu l',Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,Chistian church,église chrétienne,christliche Kirche,chiesa cristiana,christelijke kerk,христианская церковь,Nhà thờ Kitô giáo,基督教堂,,,,
perfect,parfait,perfekter,perfetto,perfecte,идеальный,hoàn hảo,完美的,circle,cercle,Kreis,cerchio,cirkel,круг,hình tròn,圆圈,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,perfect circle,cercle parfait,perfekter Kreis,cerchio perfetto,perfecte cirkel,идеальный круг,hình tròn hoàn hảo,完美的圆圈,,,,
round,ronde,runde,rotondo,ronde,круглые,tròn,圆形,clock,horloge,Uhr,orologio,klok,часы,đồng hồ,时钟,I saw the,J'ai vu l',Ich sah die,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,round clock,horloge ronde,runde Uhr,orologio rotondo,ronde klok,круглые часы,đồng hồ tròn,圆形时钟,,,,
white,blanc,weiße,bianca,witte,белое,trắng,白,cloud,nuage,Wolke,nuvola,wolk,облако,đám mây,云,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,white cloud,nuage blanc,weiße Wolke,nuvola bianca,witte wolk,белое облако,đám mây trắng,白云,,,,
warm,chaud,warmer,caldo,warme,теплое,ấm,暖和的,coat,manteau,Mantel,cappotto,jas,пальто,áo khoác,衣服,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,warm coat,manteau chaud,warmer Mantel,cappotto caldo,warme jas,теплое пальто,áo khoác ấm,暖和的衣服,,,,
tight,serré,enger,stretto,strakke,тугой,chật,紧绷的,collar,collier,Kragen,colletto,kraag,воротник,cổ áo,领口,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,tight collar,collier serré,enger Kragen,colletto stretto,strakke kraag,тугой воротник,cổ áo chật,紧绷的领口,,,,
plastic,en plastique,plastischer,di,plastic,пластиковый,nhựa,塑料,comb,peigne,Kamm,pettine,kam,гребень,lược,梳子,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,plastic comb,peigne en plastique,plastischer Kamm,pettine di plastica,plastic kam,пластиковый гребень,lược nhựa,塑料梳子,,,,
black,noir,schwarzes,nero,zwart,черный,đen,黑,cord,cordon,Seil,cordone,koord,шнур,dây,绳子,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy sợi,我看見了,black cord,cordon noir,schwarzes Seil,cordone nero,zwart koord,черный шнур,dây đen,黑绳子,,,,
brown,brune,braune,marrone,bruine,коричневая,nâu,棕,cow,vache,Kuh,mucca,koe,корова,bò,牛,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,brown cow,vache brune,braune Kuh,mucca marrone,bruine koe,коричневая корова,bò nâu,棕牛,,,,
hot,chaude,heiße,calda,hete,горячая,nóng,熱,cup,tasse,Tasse,tazza,kop,чашка,ly,杯,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,hot cup,tasse chaude,heiße Tasse,tazza calda,hete kop,горячая чашка,ly nóng,熱杯,big cup,grande tasse,große Tasse,grande tazza
thick,épais,dicker,spessa,dik,плотная,dày,厚,curtain,rideau,Vorhang,tenda,gordijn,занавеска,rèm,窗帘,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy tấm,我看見了,thick curtain,rideau épais,dicker Vorhang,tenda spessa,dik gordijn,плотная занавеска,rèm dày,厚窗帘,,,,
soft,doux,weiches,morbido,zacht,мягкая,mềm,软,cushion,coussin,Kissen,cuscino,kussen,подушка,gối,垫子,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,soft cushion,coussin doux,weiches Kissen,cuscino morbido,zacht kussen,мягкая подушка,gối mềm,软垫子,,,,
loyal,fidèle,treuer,fedele,trouwe,верный,trung thành,忠,dog,chien,Hund,cane,hond,пес,chó,犬,I saw the,J'ai vu le,Ich sah der,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,loyal dog,chien fidèle,treuer Hund,cane fedele,trouwe hond,верный пес,chó trung thành,忠犬,,,,
open,ouverte,offene,aperta,open,открытая,mở,敞开的,door,porte,Tür,porta,deur,дверь,cửa,门,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,open door,porte ouverte,offene Tür,porta aperta,open deur,открытая дверь,cửa mở,敞开的门,,,,
clogged,bouché,verstopfte,intasato,verstopte,засоренный,bị tắc,堵塞的,drain,drain,Abflussrinne,scarico,afvoer,слив,thoát nước,排水管,I saw the,J'ai vu le,Ich sah die,Ho visto lo,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,clogged drain,drain bouché,verstopfte Abflussrinne,scarico intasato,verstopte afvoer,засоренный слив,thoát nước bị tắc,堵塞的排水管,old drain,vieux drain,alte Abflussrinne,vecchio scarico
open,ouvert,offene,aperto,open,открытый,mở,开启,drawer,tiroir,Schublade,cassetto,lade,ящик,ngăn kéo,抽屉,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái ngăn kéo mở,我看見了,open drawer,tiroir ouvert,offene Schublade,cassetto aperto,open lade,открытый ящик,ngăn kéo mở,抽屉开启,,,,
pretty,robe,hübsches,vestito,mooie,красивое,xinh xắn,漂亮,dress,jolie,Kleid,bel,jurk,платье,váy,裙子,I saw the,J'ai vu la,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy chiếc,我看見了,pretty dress,jolie robe,hübsches Kleid,bel vestito,mooie jurk,красивое платье,váy xinh xắn,漂亮裙子,,,,
small,goutte,kleiner,goccia,kleine,небольшая,nhỏ,小,drop,petite,Tropfen,piccola,druppel,капля,giọt,水滴,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,small drop,petite goutte,kleiner Tropfen,piccola goccia,kleine druppel,небольшая капля,giọt nhỏ,小水滴,,,,
sensitive,sensible,empfindliches,sensibile,gevoelig,чувствительное,nhạy cảm,灵敏,ear,oreille,Ohr,orecchio,oor,ухо,tai,耳朵,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,sensitive ear,oreille sensible,empfindliches Ohr,orecchio sensibile,gevoelig oor,чувствительное ухо,tai nhạy cảm,灵敏耳朵,,,,
boiled,dur,gekochtes,sodo,gekookt,варёное,luộc,水煮,egg,œuf,Ei,uovo,ei,яйцо,trứng,蛋,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy quả,我看見了,boiled egg,œuf dur,gekochtes Ei,uovo sodo,gekookt ei,варёное яйцо,trứng luộc,水煮蛋,big egg,grand œuf,großes Ei,grande uovo
powerful,puissant,leistungsstarker,potente,krachtige,мощный,mạnh mẽ,強勁,engine,moteur,Motor,motore,motor,двигатель,động cơ,引擎,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,powerful engine,moteur puissant,leistungsstarker Motor,motore potente,krachtige motor,мощный двигатель,động cơ mạnh mẽ,強勁引擎,old engine,vieux moteur,alter Motor,vecchio motore
blue,bleu,blaues,blu,blauw,голубой,xanh,藍,eye,œil,Auge,occhio,oog,глаз,mắt,眼睛,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy đôi,我看見了,blue eye,œil bleu,blaues Auge,occhio blu,blauw oog,голубой глаз,mắt xanh,藍眼睛,beautiful eye,beau œil,schönes Auge,bel occhio
happy,heureux,fröhliches,felice,blij,счастливое,vui vẻ,快乐的,face,visage,Gesicht,faccia,gezicht,лицо,khuôn mặt,脸庞,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了,happy face,visage heureux,fröhliches Gesicht,faccia felice,blij gezicht,счастливое лицо,khuôn mặt vui vẻ,快乐的脸庞,big face,grande visage,großes Gesicht,grande faccia
isolated,isolée,abgelegene,isolata,afgelegen,уединённая,biệt lập,孤立的,farm,ferme,Farm,fattoria,boerderij,ферма,nông trại,農場,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,isolated farm,ferme isolée,abgelegene Farm,fattoria isolata,afgelegen boerderij,уединённая ферма,nông trại biệt lập,孤立的農場,old farm,vieille ferme,alte Farm,vecchia fattoria
light,légère,leichte,leggera,lichte,легкое,nhẹ,轻盈的,feather,plume,Feder,piuma,veer,перо,lông vũ,羽毛,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy chiếc,我看見了,light feather,plume légère,leichte Feder,piuma leggera,lichte veer,легкое перо,lông vũ nhẹ,轻盈的羽毛,,,,
long,long,langer,lungo,lange,длинный,dài,修长的,finger,doigt,Finger,dito,vinger,палец,ngón tay,手指,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,long finger,doigt long,langer Finger,dito lungo,lange vinger,длинный палец,ngón tay dài,修长的手指,,,,
fresh,frais,frischer,fresco,verse,свежая,tươi,新鲜的,fish,poisson,Fisch,pesce,vis,рыба,cá,鱼,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,fresh fish,poisson frais,frischer Fisch,pesce fresco,verse vis,свежая рыба,cá tươi,新鲜的鱼,,,,
