phrase-eng,phrase_cutoff_after_subject-eng,phrase-ger,phrase_cutoff_after_subject-ger,phrase-fre,phrase_cutoff_after_subject-fre,phrase-pol,phrase_cutoff_after_subject-pol,verb-eng,verb-ger,verb-fre,verb-pol,obj-eng,obj-ger,obj-fre,obj-pol
I know that Hannah watches Oliver,I know that Hannah,"Ich weiß, dass Hannah Oliver sieht","Ich weiß, dass Hannah",Je sais qu'Hannah voit Oliver,Je sais qu'Hannah,"Wiem, że Hannah obserwuje Olivera","Wiem, że Hannah",watches,sieht,voit,obserwuje,Oliver,Oliver,Oliver,Olivera
I know that Eric invites Monica,I know that Eric,"Ich weiß, dass Eric Monica einlädt","Ich weiß, dass Eric",Je sais qu'Eric invite Monica,Je sais qu'Eric,"Wiem, że Eric zaprasza Monikę","Wiem, że Eric",invites,einlädt,invite,zaprasza,Monica,Monica,Monica,Monikę
I know that Julia supports Frank,I know that Julia,"Ich weiß, dass Julia Frank unterstützt","Ich weiß, dass Julia",Je sais que Julia soutient Frank,Je sais que Julia,"Wiem, że Julia wspiera Franka","Wiem, że Julia",supports,unterstützt,soutient,wspiera,Frank,Frank,Frank,Franka
I know that Kevin praises Laura,I know that Kevin,"Ich weiß, dass Kevin Laura lobt","Ich weiß, dass Kevin",Je sais que Kevin loue Laura,Je sais que Kevin,"Wiem, że Kevin chwali Laurę","Wiem, że Kevin",praises,lobt,loue,chwali,Laura,Laura,Laura,Laurę
I know that Maria greets Stefan,I know that Maria,"Ich weiß, dass Maria Stefan begrüßt","Ich weiß, dass Maria",Je sais que Maria salue Stefan,Je sais que Maria,"Wiem, że Maria wita Stefana","Wiem, że Maria",greets,begrüßt,salue,wita,Stefan,Stefan,Stefan,Stefana
I know that Brian helps Chloe,I know that Brian,"Ich weiß, dass Brian Chloe hilft","Ich weiß, dass Brian",Je sais que Brian aide Chloe,Je sais que Brian,"Wiem, że Brian pomaga Chloe","Wiem, że Brian",helps,hilft,aide,pomaga,Chloe,Chloe,Chloe,Chloe
I know that Natalie hears Simon,I know that Natalie,"Ich weiß, dass Natalie Simon hört","Ich weiß, dass Natalie",Je sais que Natalie entend Simon,Je sais que Natalie,"Wiem, że Natalie słucha Simona","Wiem, że Natalie",hears,hört,entend,słucha,Simon,Simon,Simon,Simona
I know that Oscar knows Helen,I know that Oscar,"Ich weiß, dass Oscar Helen kennt","Ich weiß, dass Oscar",Je sais qu'Oscar connaît Helen,Je sais qu'Oscar,"Wiem, że Oscar zna Helen","Wiem, że Oscar",knows,kennt,connaît,zna,Helen,Helen,Helen,Helen
I know that Irene loves Paul,I know that Irene,"Ich weiß, dass Irene Paul liebt","Ich weiß, dass Irene",Je sais qu'Irene aime Paul,Je sais qu'Irene,"Wiem, że Irene kocha Paula","Wiem, że Irene",loves,liebt,aime,kocha,Paul,Paul,Paul,Paula
I know that Victor sees Lena,I know that Victor,"Ich weiß, dass Victor Lena sieht","Ich weiß, dass Victor",Je sais que Victor voit Lena,Je sais que Victor,"Wiem, że Victor spotyka się z Leną","Wiem, że Victor",sees,sieht,voit,spotyka się,Lena,Lena,Lena,Leną
I know that Chloe meets Daniel,I know that Chloe,"Ich weiß, dass Chloe Daniel trifft","Ich weiß, dass Chloe",Je sais que Chloe rencontre Daniel,Je sais que Chloe,"Wiem, że Chloe spotyka się z Danielem","Wiem, że Chloe",meets,trifft,rencontre,się,Daniel,Daniel,Daniel,Danielem
